date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,return
2016-05-19 00:00:00+00:00,54.55,54.615,54.19,54.43,7582848,44.6066619204,44.6598137632,44.3122824833,44.5085354414,7582848,0.0,1.0,-0.0045620437951439
2016-05-20 00:00:00+00:00,54.62,55.3736,54.58,54.88,8430783,44.6639023665,45.2801366547,44.6311935402,44.8765097377,8430783,0.0,1.0,0.0012832263979345
2016-05-23 00:00:00+00:00,54.6,54.8171,54.291,54.62,7352054,44.6475479533,44.8250751083,44.3948722699,44.6639023665,7352054,0.0,1.0,-0.0003661662401507
2016-05-24 00:00:00+00:00,55.44,55.62,54.68,54.74,7748697,45.3344333065,45.481623025,44.712965606,44.7620288455,7748697,0.0,1.0,0.0153846153862349
2016-05-25 00:00:00+00:00,55.15,55.46,54.95,55.2,8126058,45.0972943155,45.3507877196,44.9337501838,45.1381803484,8126058,0.0,1.0,-0.0052308802317376
2016-05-26 00:00:00+00:00,55.29,55.8699,54.95,55.55,9451708,45.2117752077,45.6859714175,44.9337501838,45.4243825789,9451708,0.0,1.0,0.0025385312785972
2016-05-27 00:00:00+00:00,55.15,55.55,55.1,55.36,6631120,45.0972943155,45.4243825789,45.0564082826,45.2690156538,6631120,0.0,1.0,-0.0025321034547766
2016-05-31 00:00:00+00:00,54.89,55.5,54.7,55.5,12043976,44.8846869443,45.383496546,44.7293200192,45.383496546,12043976,0.0,1.0,-0.0047144152310469
2016-06-01 00:00:00+00:00,54.82,55.49,54.72,54.76,8761577,44.8274464982,45.3753193394,44.7456744323,44.7783832587,8761577,0.0,1.0,-0.0012752778285172
2016-06-02 00:00:00+00:00,54.62,55.0,54.455,54.9,8307488,44.6639023665,44.9746362167,44.5289784578,44.8928641509,8307488,0.0,1.0,-0.003648303538917
2016-06-03 00:00:00+00:00,54.61,55.08,54.4,54.71,6649224,44.6557251599,45.0400538694,44.4840038216,44.7374972258,6649224,0.0,1.0,-0.0001830831200753
2016-06-06 00:00:00+00:00,55.59,55.87,54.69,54.72,9900917,45.4570914052,45.6860531896,44.7211428126,44.7456744323,9900917,0.0,1.0,0.0179454312393434
2016-06-07 00:00:00+00:00,55.3,56.1,55.28,55.65,7173072,45.2199524143,45.8741289411,45.2035980011,45.5061546447,7173072,0.0,1.0,-0.0052167656039883
2016-06-08 00:00:00+00:00,55.22,55.5,54.9,55.5,7623851,45.1545347616,45.383496546,44.8928641509,45.383496546,7623851,0.0,1.0,-0.001446654611678
2016-06-09 00:00:00+00:00,55.58,55.61,55.06,55.15,5927854,45.4489141986,45.4734458184,45.0236994562,45.0972943155,5927854,0.0,1.0,0.0065193770360878
2016-06-10 00:00:00+00:00,54.865,55.2,54.5,54.92,8118651,44.8642439278,45.1381803484,44.5657758875,44.909218564,8118651,0.0,1.0,-0.012864339690166
2016-06-13 00:00:00+00:00,55.04,55.6,54.76,54.79,7928722,45.0073450431,45.4652686118,44.7783832587,44.8029148784,7928722,0.0,1.0,0.0031896473175898
2016-06-14 00:00:00+00:00,55.57,55.58,55.0101,55.05,8036517,45.4407369921,45.4489141986,44.9828951954,45.0155222496,8036517,0.0,1.0,0.0096293604651633
2016-06-15 00:00:00+00:00,55.35,56.09,55.27,55.64,7447317,45.2608384472,45.8659517345,45.1954207945,45.4979774381,7447317,0.0,1.0,-0.0039589706683514
2016-06-16 00:00:00+00:00,55.53,55.59,54.41,54.9,7968033,45.4080281657,45.4570914052,44.4921810282,44.8928641509,7968033,0.0,1.0,0.003252032519718
2016-06-17 00:00:00+00:00,55.31,55.62,55.04,55.61,9503017,45.2281296208,45.481623025,45.0073450431,45.4734458184,9503017,0.0,1.0,-0.0039618224390526
2016-06-20 00:00:00+00:00,55.38,56.27,55.38,55.77,2032866,45.2853700669,46.013141453,45.2853700669,45.6042811238,2032866,0.0,1.0,0.0012655939252832
